,0
0,camping0
1,camping1
2,camping2
3,camping3
4,camping4
5,camping5
6,camping6
7,camping7
8,camping8
9,entrance0
10,entrance1
11,entrance2
12,entrance3
13,entrance4
14,gate0
15,gate1
16,gate2
17,gate3
18,gate4
19,gate5
20,gate6
21,gate7
22,gate8
23,general-gate0
24,general-gate1
25,general-gate2
26,general-gate3
27,general-gate4
28,general-gate5
29,general-gate6
30,general-gate7
31,ranger-base
32,ranger-stop0
33,ranger-stop1
34,ranger-stop2
35,ranger-stop3
36,ranger-stop4
37,ranger-stop5
38,ranger-stop6
39,ranger-stop7
