,car-id,car_type,enter_date,exit_date,total_in_time,entrance0,entrance1,entrance2,entrance3,entrance4,entry_gate,exit_gate,exited,time_till_last_data_entry
4531,20154112014114-381,1,2015-06-12 13:41:14,2015-07-26 23:00:51,63919.62,6637.3,0.0,0.0,0.0,0.0,entrance0,entrance0,1,354 days 10:14:52
6853,20162027042012-940,1,2016-05-27 16:20:12,2016-05-29 10:51:29,2551.28,0.0,0.0,0.0,0.0,4.03,entrance2,entrance4,1,4 days 07:35:54
7002,20162904122951-717,1,2016-03-04 12:29:51,2016-04-10 22:14:22,53864.52,0.0,0.0,0.0,6639.97,0.0,entrance3,entrance3,1,88 days 11:26:15
10501,20154519024544-322,2,2015-06-19 14:45:44,2015-10-05 00:36:54,154671.17,0.0,0.0,0.0,0.0,6611.17,entrance1,entrance4,1,347 days 09:10:22
13828,20153712013720-181,3,2015-07-12 13:37:20,2015-08-04 22:32:31,33655.18,0.0,0.0,0.0,0.0,6654.0,entrance2,entrance4,1,324 days 10:18:46
15272,20150204100226-134,4,2015-07-04 22:02:26,2015-07-05 08:41:17,638.85,0.0,582.32,0.0,0.0,0.0,entrance1,entrance4,1,332 days 01:53:40
15299,20150322080300-861,4,2015-10-22 20:03:00,2015-10-23 07:27:00,684.0,647.02,0.0,0.0,0.0,0.0,entrance0,entrance4,1,222 days 03:53:06
15738,20153427103455-30,4,2015-06-27 22:34:55,2015-06-28 09:28:29,653.57,0.0,0.0,595.8,0.0,0.0,entrance2,entrance1,1,339 days 01:21:11
15914,20154501084537-684,4,2015-09-01 20:45:37,2015-09-02 08:40:47,715.17,0.0,0.0,0.0,692.25,0.0,entrance3,entrance0,1,273 days 03:10:29
16150,20160623090611-424,4,2016-03-23 21:06:11,2016-03-24 09:05:31,719.33,0.0,659.03,0.0,0.0,0.0,entrance1,entrance2,1,69 days 02:49:55
16172,20161008061012-639,4,2016-05-08 18:10:12,2016-05-09 07:36:46,806.57,0.0,0.0,0.0,755.17,0.0,entrance3,entrance4,1,23 days 05:45:54
