,Timestamp,car-id,car-type,gate-name
1257,2015-05-05 02:05:22,20150505020522-625,4,entrance3
1258,2015-05-05 02:07:15,20150505020522-625,4,gate6
1259,2015-05-05 02:08:20,20150505020522-625,4,ranger-stop6
1260,2015-05-05 02:09:18,20150505020522-625,4,gate5
1261,2015-05-05 02:14:16,20150505020522-625,4,general-gate5
1262,2015-05-05 02:22:24,20150505020522-625,4,gate3
1263,2015-05-05 02:24:12,20150505020522-625,4,ranger-stop3
1264,2015-05-05 02:39:08,20150505020522-625,4,ranger-stop3
1265,2015-05-05 02:40:51,20150505020522-625,4,gate3
1266,2015-05-05 02:48:58,20150505020522-625,4,general-gate5
1267,2015-05-05 02:53:55,20150505020522-625,4,gate5
1268,2015-05-05 02:54:55,20150505020522-625,4,ranger-stop6
1269,2015-05-05 02:55:58,20150505020522-625,4,gate6
1270,2015-05-05 02:57:55,20150505020522-625,4,entrance3
6723,2015-05-21 02:15:18,20151521021518-235,4,entrance3
6724,2015-05-21 02:17:30,20151521021518-235,4,gate6
6725,2015-05-21 02:18:45,20151521021518-235,4,ranger-stop6
6726,2015-05-21 02:19:53,20151521021518-235,4,gate5
6727,2015-05-21 02:25:39,20151521021518-235,4,general-gate5
6728,2015-05-21 02:35:05,20151521021518-235,4,gate3
6729,2015-05-21 02:37:12,20151521021518-235,4,ranger-stop3
6730,2015-05-21 02:49:15,20151521021518-235,4,ranger-stop3
6731,2015-05-21 02:51:15,20151521021518-235,4,gate3
6733,2015-05-21 03:00:43,20151521021518-235,4,general-gate5
6734,2015-05-21 03:06:28,20151521021518-235,4,gate5
6735,2015-05-21 03:07:37,20151521021518-235,4,ranger-stop6
6736,2015-05-21 03:08:51,20151521021518-235,4,gate6
6737,2015-05-21 03:11:07,20151521021518-235,4,entrance3
11205,2015-06-02 04:47:23,20154702044723-914,4,entrance3
11207,2015-06-02 04:49:13,20154702044723-914,4,gate6
11209,2015-06-02 04:50:15,20154702044723-914,4,ranger-stop6
