,Timestamp,car-id,car-type,gate-name
13747,2015-06-05 14:57:59,20155705025759-63,1,entrance0
13749,2015-06-05 14:59:26,20155705025759-63,1,general-gate1
13754,2015-06-05 15:02:01,20155705025759-63,1,ranger-stop2
13760,2015-06-05 15:05:01,20155705025759-63,1,ranger-stop0
13761,2015-06-05 15:08:11,20155705025759-63,1,general-gate2
13773,2015-06-05 15:19:33,20155705025759-63,1,general-gate5
13788,2015-06-05 15:29:43,20155705025759-63,1,camping6
38995,2015-07-03 14:55:52,20155705025759-63,1,camping6
39023,2015-07-03 15:05:56,20155705025759-63,1,general-gate5
39040,2015-07-03 15:17:18,20155705025759-63,1,general-gate2
39044,2015-07-03 15:20:29,20155705025759-63,1,ranger-stop0
39048,2015-07-03 15:23:28,20155705025759-63,1,ranger-stop2
39052,2015-07-03 15:26:03,20155705025759-63,1,general-gate1
39072,2015-07-03 15:37:04,20155705025759-63,1,general-gate4
39083,2015-07-03 15:44:01,20155705025759-63,1,general-gate7
39123,2015-07-03 16:01:36,20155705025759-63,1,camping2
74646,2015-07-31 13:39:26,20155705025759-63,1,camping2
74677,2015-07-31 13:55:01,20155705025759-63,1,camping3
99957,2015-08-24 18:36:48,20155705025759-63,1,camping3
99964,2015-08-24 18:50:12,20155705025759-63,1,general-gate7
99967,2015-08-24 19:00:05,20155705025759-63,1,camping5
119860,2015-09-17 09:44:02,20155705025759-63,1,camping5
119868,2015-09-17 09:53:52,20155705025759-63,1,general-gate7
119875,2015-09-17 10:00:46,20155705025759-63,1,general-gate4
119897,2015-09-17 10:11:46,20155705025759-63,1,general-gate1
119899,2015-09-17 10:14:21,20155705025759-63,1,ranger-stop2
119903,2015-09-17 10:17:21,20155705025759-63,1,ranger-stop0
119907,2015-09-17 10:20:31,20155705025759-63,1,general-gate2
119912,2015-09-17 10:24:10,20155705025759-63,1,general-gate0
119921,2015-09-17 10:31:21,20155705025759-63,1,camping1
119933,2015-09-17 10:44:02,20155705025759-63,1,camping1
119940,2015-09-17 10:51:08,20155705025759-63,1,general-gate0
119944,2015-09-17 10:54:46,20155705025759-63,1,general-gate2
119947,2015-09-17 10:57:57,20155705025759-63,1,ranger-stop0
119951,2015-09-17 11:00:56,20155705025759-63,1,ranger-stop2
119956,2015-09-17 11:03:31,20155705025759-63,1,general-gate1
119972,2015-09-17 11:14:32,20155705025759-63,1,general-gate4
119979,2015-09-17 11:21:29,20155705025759-63,1,general-gate7
119999,2015-09-17 11:39:27,20155705025759-63,1,camping0
135225,2015-10-19 18:38:45,20155705025759-63,1,camping0
135228,2015-10-19 18:58:52,20155705025759-63,1,camping2
140834,2015-11-22 12:55:11,20155705025759-63,1,camping2
140837,2015-11-22 13:12:43,20155705025759-63,1,general-gate7
140840,2015-11-22 13:19:39,20155705025759-63,1,general-gate4
140841,2015-11-22 13:30:39,20155705025759-63,1,general-gate1
140842,2015-11-22 13:33:14,20155705025759-63,1,ranger-stop2
140843,2015-11-22 13:36:14,20155705025759-63,1,ranger-stop0
140844,2015-11-22 13:39:24,20155705025759-63,1,general-gate2
140845,2015-11-22 13:50:46,20155705025759-63,1,general-gate5
140846,2015-11-22 14:00:56,20155705025759-63,1,camping6
144101,2015-12-22 17:43:02,20155705025759-63,1,camping6
144102,2015-12-22 17:53:06,20155705025759-63,1,general-gate5
144103,2015-12-22 18:04:28,20155705025759-63,1,general-gate2
144104,2015-12-22 18:07:39,20155705025759-63,1,ranger-stop0
144105,2015-12-22 18:10:38,20155705025759-63,1,ranger-stop2
144106,2015-12-22 18:13:13,20155705025759-63,1,general-gate1
144107,2015-12-22 18:24:14,20155705025759-63,1,general-gate4
144108,2015-12-22 18:31:11,20155705025759-63,1,general-gate7
144109,2015-12-22 18:44:38,20155705025759-63,1,camping3
147405,2016-01-26 15:18:23,20155705025759-63,1,camping3
147406,2016-01-26 15:22:40,20155705025759-63,1,camping4
152076,2016-03-01 18:11:21,20155705025759-63,1,camping4
152077,2016-03-01 18:20:10,20155705025759-63,1,camping0
156318,2016-03-31 13:37:07,20155705025759-63,1,camping0
156319,2016-03-31 13:45:56,20155705025759-63,1,camping4
161666,2016-05-03 08:00:52,20155705025759-63,1,camping4
161669,2016-05-03 08:12:37,20155705025759-63,1,camping2
167610,2016-05-20 14:15:42,20155705025759-63,1,camping2
167620,2016-05-20 14:33:14,20155705025759-63,1,general-gate7
167627,2016-05-20 14:43:07,20155705025759-63,1,camping5
