gate_name,x_coordinate,y_coordinate
camping0,0.264496439,0.790437436
camping1,0.645981689,0.745676501
camping2,0.22380468,0.676500509
camping3,0.22889115,0.656154629
camping4,0.24415056,0.552390641
camping5,0.105798576,0.394710071
camping6,0.748728383,0.115971516
camping7,0.902339776,0.275686673
camping8,0.912512716,0.75584944
entrance0,0.313326551,0.929806714
entrance1,0.090539166,0.662258393
entrance2,0.912512716,0.562563581
entrance3,0.575788403,0.166836216
entrance4,0.699898271,0.077314344
gate0,0.318413021,0.830111902
gate1,0.292980671,0.77619532
gate2,0.125127162,0.726347915
gate3,0.743641913,0.696846389
gate4,0.818921668,0.429298067
gate5,0.655137335,0.270600203
gate6,0.580874873,0.246185148
gate7,0.486266531,0.201424212
gate8,0.689725331,0.097660224
general-gate0,0.551373347,0.9491353
general-gate1,0.323499491,0.869786368
general-gate2,0.520854527,0.835198372
general-gate3,0.92878942,0.721261445
general-gate4,0.347914547,0.508646999
general-gate5,0.620549339,0.443540183
general-gate6,0.679552391,0.315361139
general-gate7,0.328585961,0.279755849
ranger-base,0.639877925,0.12716175
ranger-stop0,0.446592065,0.91353001
ranger-stop1,0.100712106,0.874872838
ranger-stop2,0.402848423,0.820956256
ranger-stop3,0.739572737,0.77110885
ranger-stop4,0.095625636,0.521871821
ranger-stop5,0.754832146,0.408952187
ranger-stop6,0.616480163,0.264496439
ranger-stop7,0.501525941,0.241098678
